company,title,sector,location,career,education,category
굿커리어,"중견기업 Physical AI 로봇제어 SW개발 대리,과장급 구함(굿커리",앱개발웹개발DBA네트워크데이터마이닝 외,서울 강남구,신입 · 경력 · 정규직,대학교(4년)↑,Other
자바스서치주식회사,헬스케어 IT기업 의료데이터 분석가,데이터분석가데이터 사이언티스트,서울 강남구,2 ~ 7년 · 정규직,대학교(4년)↑,Data Analysis
엔터웨이파트너스,[패션 대기업]고객데이터 분석,데이터분석가데이터엔지니어빅데이터R데이터분석,서울전체 외,7 ~ 11년 · 정규직,대학교(4년)↑,Data Analysis
HR컨설팅(주),대기업 그룹 통합 CRM 멤버십기획 담당,데이터분석가데이터마이닝빅데이터브랜드확장브랜딩 외,서울 중구,경력 4년↑ · 정규직,대학교(4년)↑,Data Analysis
에이치알서비스(주),--[강남/ASAP] 유명기업 IT helpdesk 채용--,기술지원데이터분석가데이터엔지니어유지보수정보보안 외,서울 강남구,경력무관 · 파견직,"대학(2,3년)↑",Data Analysis
코리아써치,/Data Specialist(영어가능자),데이터분석가데이터엔지니어,서울 영등포구,경력 2년↑ · 정규직,대학교(4년)↑,Data Analysis
(주)피플케어코리아,AI / Analytics Expert (DT/BT),데이터분석가머신러닝빅데이터클라우드AI(인공지능) 외,서울 강남구,경력 1년↑ · 정규직,석사↑,Data Analysis
(주)HR컨설팅그룹,[ 컨설팅 ]   경영/재무관리 영역 AI/AX 설계 및 개발 컨설팅,데이터분석가ERPS/WSAPAIX 외,서울 용산구,3 ~ 11년 · 정규직,대학교(4년)↑,Data Analysis
(주)터닝포인트에이치알,"그룹사 대기업 계열사, 공공 SI 프로젝트  제안전략 총괄담당",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 10년↑ · 정규직,대학교(4년)↑,Other
(주)오케이저축은행,[오케이에이엑스] IT 부문 경력직 채용 공고,기술지원데이터엔지니어백엔드/서버개발앱개발웹개발 외,서울 중구,경력 6년↑ · 정규직 외,대학교(4년)↑,Data Engineer
(주)에임즈인터내셔널코리아,AI 전문 기업 연구소장,딥러닝머신러닝컴퓨터비전PytorchTensorflow,서울 강남구,7 ~ 15년 · 정규직,석사↑,Deep Learning
(주)에임즈인터내셔널코리아,AI 전문 기업 AI Engineering Lead,딥러닝머신러닝컴퓨터비전PytorchTensorflow,서울 강남구,7 ~ 12년 · 정규직,대학교(4년)↑,Deep Learning
(주) 케인앤클루컨설팅,기준정보 컨설턴트 대리(과장)~차(부)장급 경력사원 모집,기술지원데이터분석가데이터엔지니어웹개발유지보수 외,서울 송파구,신입 · 경력 · 정규직,대학교(4년)↑,Data Analysis
(주) 케인앤클루컨설팅,네트워크 운영 대리~과(차)장급 경력사원 모집,기술지원데이터분석가데이터엔지니어정보보안네트워크 외,서울 중구,5 ~ 15년 · 정규직,대학교(4년)↑,Data Analysis
커리어메타써치,[ICT/SI] Data Engineer,기술지원데이터분석가데이터엔지니어보안컨설팅유지보수 외,서울 서초구,8 ~ 15년 · 정규직,대학교(4년)↑,Data Analysis
프로페셔날핸즈인핸즈코리아(주),데이터 엔지니어 (Databricks)/과장급,데이터엔지니어데이터 사이언티스트,서울 강남구,5 ~ 10년 · 정규직,"대학(2,3년)↑",Data Engineer
주식회사라피플코리아리미티드,머신비전전문가(AI기반 검사자동화 시스템구축)-(과장~이사),딥러닝머신러닝PythonFA(공장자동화),서울 강남구,경력 8년↑ · 정규직,대학교(4년)↑,Deep Learning
제이앤피에이치알컨설팅,(MNCs) 데이터 분석가,데이터분석가PythonRSQL데이터 사이언티스트,서울 강남구,2 ~ 8년 · 정규직,"대학(2,3년)↑",Data Analysis
Data Platform Engineer 외국계 해운IT기업 경력직 채용,Data Platform Engineer 외국계 해운IT기업 경력직 채용,데이터엔지니어앱개발웹개발DBABI 엔지니어 외,서울 서초구,10 ~ 18년 · 정규직,대학교(4년)↑,Data Engineer
휴먼링크,신입지원가능 / 업무강도 매우 낮음 [VR 모션 테스트 담당] 채용,데이터분석가데이터엔지니어VR(가상현실)경비원경비지도사 외,서울 강남구,경력무관 · 계약직,학력무관,Data Analysis
에이피써치,[특허 버티컬 AI 전문 기업] 데이터 애널리틱스 엔지니어,데이터분석가데이터엔지니어,서울 강남구,경력 5년↑ · 정규직,대학교(4년)↑,Data Analysis
(주)터닝포인트에이치알,"대형 IT기업, 기업용 클라우드 기반 AI 컨설턴트 경력자",기술지원유지보수IT컨설팅SE(시스템엔지니어)ICT컨설팅 외,서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,Other
(주)터닝포인트에이치알,"대형 IT기업,  Microsoft 엔지니어 경력",기술지원유지보수IT컨설팅SE(시스템엔지니어)ICT컨설팅 외,서울 강남구,경력 3년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업, 보안솔루션 영업  시니어",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 7년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업,   보안솔루션 세일즈 엔지니어 경력",기술지원유지보수IT컨설팅SE(시스템엔지니어)ICT컨설팅 외,서울 강남구,경력 4년↑ · 정규직,"대학(2,3년)↑",Other
(주)터닝포인트에이치알,"대형 IT기업, 솔루션 마케팅 경력자",기술지원보안컨설팅유지보수IT컨설팅SE(시스템엔지니어) 외,서울 강남구,경력 4년↑ · 정규직,대학교(4년)↑,Other
(주)시그마커넥트,[피지컬AI 기반 로봇개발 기업]AI 엔지니어(Inference System),SE(시스템엔지니어)딥러닝머신러닝알고리즘Python 외,서울 송파구,경력 5년↑ · 정규직,대학교(4년)↑,Deep Learning
써치스퀘어,데이터 거버넌스 기획,데이터분석가데이터엔지니어,서울 중구,7 ~ 14년 · 정규직,대학교(4년)↑,Data Analysis
(주)에스앤티써치,국내대기업 데이터 거버넌스 기획 경력직 채용,데이터분석가데이터엔지니어,서울 중구,5 ~ 15년 · 정규직,대학교(4년)↑,Data Analysis
(주)에스앤티써치,국내대기업 데이터 거버넌스 개발 경력직 채용,데이터분석가데이터엔지니어,서울 중구,경력 5년↑ · 정규직,대학교(4년)↑,Data Analysis
리뉴피플 주식회사,"커피,디저트 프랜차이즈 전문 대기업 데이터사이언스 팀장",데이터분석가데이터 사이언티스트,서울 중구,10 ~ 16년 · 정규직,대학교(4년)↑,Data Analysis
